Time resolution is 1 ps
t=385000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=1 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=395000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=1 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=405000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=1 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=415000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=1 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=425000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=1 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=435000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=1 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=445000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=1 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=455000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=1 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=8 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=1 dram_rdy=0 dram_busy=0
t=465000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=1 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=8 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=1 dram_rdy=0 dram_busy=1
t=475000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=1 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=8 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=1 dram_rdy=0 dram_busy=1
